City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
223,Coihaique,CL,-45.5752,-72.0662,41.61,87,100,5.75,light rain
224,Anchorage,US,61.2181,-149.9003,45.61,76,0,3.44,clear sky
225,Tasiilaq,GL,65.6145,-37.6368,37.56,95,100,8.79,light rain
226,Esperance,AU,-33.8667,121.9,67.84,46,100,23.82,overcast clouds
227,Bengkulu,ID,-3.8004,102.2655,77.02,89,99,6.76,overcast clouds
228,Kenai,US,60.5544,-151.2583,41.02,100,100,0.0,overcast clouds
229,Taicheng,CN,38.731,113.228,60.66,27,0,8.1,clear sky
230,Port Augusta,AU,-32.5,137.7667,63.77,74,100,5.17,overcast clouds
231,Lozuvatka,UA,48.0571,33.2858,64.9,56,89,10.2,overcast clouds
232,North Bend,US,43.4065,-124.2243,57.92,89,100,8.05,overcast clouds
233,Bambous Virieux,MU,-20.3428,57.7575,76.21,73,40,11.5,scattered clouds
234,Tergnier,FR,49.6561,3.3011,54.57,67,55,10.65,broken clouds
235,Kibala,TD,9.1104,18.3463,87.75,55,100,0.0,overcast clouds
236,Namibe,AO,-15.1961,12.1522,72.28,77,2,7.74,clear sky
237,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,89.4,62,20,3.44,few clouds
238,Bol,TD,13.4586,14.7147,85.77,48,100,4.65,overcast clouds
239,Ozinki,RU,51.1786,49.6769,55.54,72,35,7.76,scattered clouds
240,Torbay,CA,47.6666,-52.7314,44.89,93,100,18.41,mist
241,Chihuahua,MX,28.5,-106.0,72.43,16,0,12.57,clear sky
242,Houma,US,29.5958,-90.7195,87.01,65,40,9.22,scattered clouds
243,Terrace,CA,54.5163,-128.6035,44.51,93,75,8.05,broken clouds
244,Poum,NC,-20.2333,164.0167,75.42,65,93,13.22,overcast clouds
245,Yerbogachen,RU,61.2767,108.0108,23.16,96,64,3.09,broken clouds
246,Mathbaria,BD,22.2876,89.9593,81.66,87,18,9.98,few clouds
247,Obo,CF,5.3998,26.4869,72.36,82,99,2.82,overcast clouds
248,Yar-Sale,RU,66.8333,70.8333,15.55,95,54,7.76,broken clouds
249,Severo-Kurilsk,RU,50.6789,156.125,31.53,88,99,17.98,light snow
250,Nouadhibou,MR,20.931,-17.0347,69.78,78,0,18.41,clear sky
251,Nalut,LY,30.3333,10.85,86.86,7,7,19.1,clear sky
252,Praia Da Vitoria,PT,38.7333,-27.0667,64.65,68,20,14.32,few clouds
253,Saint-Pierre,RE,-21.3393,55.4781,73.29,78,0,8.05,clear sky
254,Ancud,CL,-41.8697,-73.8203,51.22,93,100,28.63,moderate rain
255,Nizwa,OM,22.9333,57.5333,88.02,24,73,1.9,broken clouds
256,Sawtell,AU,-30.3833,153.1,63.19,100,75,4.61,broken clouds
257,Sao Filipe,CV,14.8961,-24.4956,77.52,63,2,8.63,clear sky
258,Keti Bandar,PK,24.1447,67.4497,82.53,73,0,13.56,clear sky
259,Fairbanks,US,64.8378,-147.7164,41.34,66,100,0.0,overcast clouds
260,Codrington,AU,-38.2667,141.9667,55.44,82,97,7.87,overcast clouds
261,Jinchang,CN,38.4953,102.1739,56.73,28,41,1.54,scattered clouds
262,Zeya,RU,53.75,127.2667,30.56,49,98,4.45,overcast clouds
263,Adrar,MR,20.5022,-10.0711,90.84,16,0,17.27,clear sky
264,Den Helder,NL,52.9599,4.7593,53.02,76,75,21.99,broken clouds
265,Cabo San Lucas,MX,22.8909,-109.9124,85.3,69,0,6.91,clear sky
266,Yarim,YE,14.298,44.3779,55.58,69,98,4.12,moderate rain
267,Noumea,NC,-22.2763,166.4572,73.99,99,99,12.35,overcast clouds
268,Madang,PG,-5.2246,145.7966,75.88,91,62,3.96,broken clouds
269,French Harbor,HN,16.35,-86.4333,85.06,78,40,11.5,scattered clouds
270,Kahului,US,20.8947,-156.47,73.85,83,40,20.71,scattered clouds
271,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,86.85,68,58,1.77,broken clouds
272,Arbroath,GB,56.5632,-2.5874,52.11,63,63,3.31,broken clouds
273,Manzhouli,CN,49.6,117.4333,33.08,98,100,22.06,snow
274,Fortuna,US,40.5982,-124.1573,59.94,81,40,5.75,scattered clouds
275,Shatalovo,RU,54.334,32.4465,47.08,95,100,3.02,overcast clouds
276,Point Fortin,TT,10.1833,-61.6833,85.86,71,83,4.03,broken clouds
277,Egvekinot,RU,66.3167,-179.1667,11.61,86,69,9.93,broken clouds
278,Ramgarh,IN,23.6333,85.5167,86.05,12,1,5.5,clear sky
279,Luga,RU,58.7372,29.8453,45.14,94,98,5.95,overcast clouds
280,Talnakh,RU,69.4865,88.3972,-0.8,97,94,4.05,overcast clouds
281,Catio,GW,11.2833,-15.25,85.91,48,12,12.06,few clouds
282,Daru,PG,-9.0763,143.2092,78.91,86,98,3.96,overcast clouds
283,Oussouye,SN,12.485,-16.5469,109.58,38,3,13.09,clear sky
284,Gao,ML,16.6362,1.637,93.67,9,1,10.47,clear sky
285,Andrelandia,BR,-21.7397,-44.3092,71.82,73,89,4.23,overcast clouds
286,Christchurch,NZ,-43.5333,172.6333,48.94,86,58,2.3,broken clouds
287,Grand-Santi,GF,4.25,-54.3833,82.63,86,85,3.24,overcast clouds
288,Poya,NC,-21.35,165.15,67.55,74,91,5.91,overcast clouds
289,Atar,MR,20.5169,-13.0499,90.48,22,0,18.07,clear sky
290,Invermere,CA,50.5167,-116.0354,55.36,39,100,6.02,overcast clouds
291,Zhigalovo,RU,54.8097,105.1578,18.86,95,27,2.77,scattered clouds
292,Gravelbourg,CA,49.8834,-106.5512,41.27,50,68,11.97,broken clouds
293,Marawi,PH,7.9986,124.2928,70.09,92,97,2.06,overcast clouds
294,Bykivka,UA,50.2929,27.9831,54.37,82,99,11.32,light rain
295,Havelock,US,34.8791,-76.9013,82.98,64,0,8.05,clear sky
296,Guzelyurt,TR,38.2772,34.3719,64.45,22,3,8.12,clear sky
297,Sola,VU,-13.8833,167.55,79.77,74,81,8.03,broken clouds
298,Peterhead,GB,57.5058,-1.7981,47.44,86,59,11.48,broken clouds
299,Olafsvik,IS,64.8945,-23.7142,44.96,76,93,5.08,overcast clouds
300,Arona,ES,28.0996,-16.681,64.02,83,40,19.57,scattered clouds
301,Kayes,ML,14.0,-11.0,102.61,11,0,10.25,clear sky
302,Pemangkat,ID,1.1667,108.9667,77.13,85,100,3.51,overcast clouds
303,Norman Wells,CA,65.282,-126.8329,39.24,65,75,3.44,broken clouds
304,Bathsheba,BB,13.2167,-59.5167,75.81,94,75,16.11,broken clouds
305,Salalah,OM,17.0151,54.0924,84.29,70,0,5.75,clear sky
306,Tsiroanomandidy,MG,-18.7667,46.0333,67.08,79,78,3.15,broken clouds
307,Inuvik,CA,68.3499,-133.7218,40.06,52,75,9.22,broken clouds
308,Hamilton,US,39.1834,-84.5333,72.93,85,75,14.97,broken clouds
309,Tiznit,MA,29.5833,-9.5,58.48,67,16,12.08,few clouds
310,Penzance,GB,50.1186,-5.5371,52.92,82,20,13.8,few clouds
311,Grand Gaube,MU,-20.0064,57.6608,76.37,69,6,5.01,clear sky
312,Acapulco,MX,16.8634,-99.8901,85.82,66,0,6.91,clear sky
313,Deta,RO,45.3889,21.2244,64.51,74,55,3.2,broken clouds
314,Mackay,AU,-21.15,149.2,75.18,83,75,14.97,broken clouds
315,Itarema,BR,-2.9248,-39.9167,79.63,84,90,11.01,overcast clouds
316,Bredy,RU,52.4153,60.3411,55.0,60,85,6.91,overcast clouds
317,Alexandria,EG,31.2156,29.9553,66.65,71,7,9.66,clear sky
318,Freeport,US,40.6576,-73.5832,60.69,45,100,12.66,overcast clouds
319,Russell,US,32.3502,-85.1999,82.9,57,20,6.91,few clouds
320,Nha Trang,VN,12.25,109.1833,82.4,90,24,3.11,few clouds
321,Brae,GB,60.3964,-1.353,45.32,74,100,16.31,overcast clouds
322,Asau,RO,46.4333,26.4,56.32,74,35,5.21,scattered clouds
323,Businga,CD,3.3333,20.8833,72.86,93,100,2.33,overcast clouds
324,Bilma,NE,18.6853,12.9164,99.01,8,0,9.22,clear sky
325,Lasa,IT,46.6166,10.7002,52.68,96,90,1.16,light rain
326,Port Lincoln,AU,-34.7333,135.8667,64.65,80,92,7.4,overcast clouds
